t(s),joint,q_ref,qdot_ref,qddot_ref,q_fuzzy,q_hac,e_fuzzy,e_hac,ed_fuzzy,ed_hac,pwm_fuzzy,pwm_hac,delta_pwm,grav_fuzzy,grav_hac
0.2800,elbow,0.196034,1.400000,5.000000,0.077600,0.105448,0.118433,0.090586,0.177787,0.054303,278.0268,250.0814,27.9454,4.9421,6.7099
0.2800,wrist_angle,0.196000,1.400000,5.000000,0.160825,0.146002,0.035175,0.049998,-0.589896,-0.260160,110.6068,130.4745,-19.8677,6.4053,5.8194
0.2800,wrist_rotate,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.0000,0.0000,-0.0000,0.0000,0.0000
0.2900,waist,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,0.0000,0.0000,0.0000,0.0000,0.0000
0.2900,shoulder,-0.210250,-1.450000,-5.000000,-0.076499,-0.104860,-0.133751,-0.105390,-0.296657,-0.129628,-299.4602,-302.7090,3.2488,-12.6673,-17.3488
0.2900,elbow,0.210285,1.450000,5.000000,0.089823,0.118905,0.120462,0.091380,0.116652,0.004374,280.9241,251.3869,29.5372,5.7185,7.5623
0.2900,wrist_angle,0.210250,1.450000,5.000000,0.180724,0.162604,0.029526,0.047646,-0.613551,-0.297067,85.7440,123.6295,-37.8855,7.1897,6.4755
0.2900,wrist_rotate,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.0000,0.0000,-0.0000,0.0000,0.0000
0.3000,waist,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.0000,0.0000,-0.0000,0.0000,0.0000
0.3000,shoulder,-0.225000,-1.500000,-5.000000,-0.088032,-0.118064,-0.136968,-0.106936,-0.246999,-0.078947,-306.8346,-307.3180,0.4834,-14.5725,-19.5237
0.3000,elbow,0.225035,1.500000,5.000000,0.103156,0.133361,0.121879,0.091674,0.054371,-0.046064,283.1132,251.4057,31.7075,6.5645,8.4766
0.3000,wrist_angle,0.225000,1.500000,5.000000,0.201360,0.180075,0.023640,0.044925,-0.620619,-0.329402,63.6419,115.9852,-52.3433,8.0001,7.1641
0.3000,wrist_rotate,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,-0.0000,0.0000,-0.0000,0.0000,0.0000
0.3100,waist,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.0000,0.0000,-0.0000,0.0000,0.0000
0.3100,shoulder,-0.240250,-1.550000,-5.000000,-0.100562,-0.132274,-0.139688,-0.107976,-0.194908,-0.026758,-313.0224,-310.6872,-2.3352,-16.6401,-21.8606
0.3100,elbow,0.240286,1.550000,5.000000,0.117612,0.148822,0.122674,0.091465,-0.008774,-0.096496,284.6776,250.1412,34.5364,7.4805,9.4524
