t,phase,ref,pos,vel,e,u
3.420556,STEP,3.000000,1.853049,0.000000,1.146951,157.604241
3.430702,STEP,3.000000,1.853049,0.000000,1.146951,157.604241
3.441013,STEP,3.000000,1.853049,0.000000,1.146951,157.604241
3.451192,STEP,3.000000,1.853049,0.000000,1.146951,157.604241
3.461611,STEP,3.000000,1.853049,0.000000,1.146951,157.604241
3.471797,STEP,3.000000,1.853049,0.000000,1.146951,157.604241
3.482217,STEP,3.000000,1.853049,0.000000,1.146951,157.604241
3.492433,STEP,3.000000,1.853049,0.000000,1.146951,157.604241
3.502741,STEP,3.000000,1.853049,0.000000,1.146951,157.604241
3.512970,STEP,3.000000,1.853049,0.000000,1.146951,157.604241
3.523301,STEP,3.000000,1.853049,0.000000,1.146951,157.604241
3.533452,STEP,3.000000,1.853049,0.000000,1.146951,157.604241
3.544177,STEP,3.000000,1.853049,0.000000,1.146951,157.604241
3.554441,STEP,3.000000,1.853049,0.000000,1.146951,157.604241
3.564936,STEP,3.000000,1.853049,0.000000,1.146951,157.604241
3.575116,STEP,3.000000,1.853049,0.000000,1.146951,157.604241
3.585454,STEP,3.000000,1.853049,0.000000,1.146951,157.604241
3.595612,STEP,3.000000,1.853049,0.000000,1.146951,157.604241
3.605947,STEP,3.000000,1.853049,0.000000,1.146951,157.604241
3.616119,STEP,3.000000,1.853049,0.000000,1.146951,157.604241
3.626473,STEP,3.000000,1.853049,0.000000,1.146951,157.604241
3.636688,STEP,3.000000,1.853049,0.000000,1.146951,157.604241
3.647018,STEP,3.000000,1.853049,0.000000,1.146951,157.604241
3.657193,STEP,3.000000,1.853049,0.000000,1.146951,157.604241
3.667588,STEP,3.000000,1.853049,0.000000,1.146951,157.604241
3.677817,STEP,3.000000,1.853049,0.000000,1.146951,157.604241
3.688197,STEP,3.000000,1.853049,0.000000,1.146951,157.604241
3.698444,STEP,3.000000,1.853049,0.000000,1.146951,157.604241
3.708801,STEP,3.000000,1.853049,0.000000,1.146951,157.604241
3.719034,STEP,3.000000,1.853049,0.000000,1.146951,157.604241
3.729370,STEP,3.000000,1.853049,0.000000,1.146951,157.604241
3.739570,STEP,3.000000,1.853049,0.000000,1.146951,157.604241
3.749882,STEP,3.000000,1.853049,0.000000,1.146951,157.604241
3.760054,STEP,3.000000,1.853049,0.000000,1.146951,157.604241
3.770383,STEP,3.000000,1.853049,0.000000,1.146951,157.604241
3.780584,STEP,3.000000,1.853049,0.000000,1.146951,157.604241
3.790892,STEP,3.000000,1.853049,0.000000,1.146951,157.604241
3.801145,STEP,3.000000,1.853049,0.000000,1.146951,157.604241
3.811459,STEP,3.000000,1.853049,0.000000,1.146951,157.604241
3.821602,STEP,3.000000,1.853049,0.000000,1.146951,157.604241
3.831899,STEP,3.000000,1.853049,0.000000,1.146951,157.604241
3.842085,STEP,3.000000,1.853049,0.000000,1.146951,157.604241
3.852377,STEP,3.000000,1.853049,0.000000,1.146951,157.604241
3.862568,STEP,3.000000,1.853049,0.000000,1.146951,157.604241
3.872861,STEP,3.000000,1.853049,0.000000,1.146951,157.604241
3.883037,STEP,3.000000,1.853049,0.000000,1.146951,157.604241
3.893369,STEP,3.000000,1.853049,0.000000,1.146951,157.604241
3.903565,STEP,3.000000,1.853049,0.000000,1.146951,157.604241
3.913859,STEP,3.000000,1.853049,0.000000,1.146951,157.604241
3.924045,STEP,3.000000,1.853049,0.000000,1.146951,157.604241
3.934359,STEP,3.000000,1.853049,0.000000,1.146951,157.604241
3.944512,STEP,3.000000,1.853049,0.000000,1.146951,157.604241
3.954810,STEP,3.000000,1.853049,0.000000,1.146951,157.604241
3.965004,STEP,3.000000,1.853049,0.000000,1.146951,157.604241
3.975362,STEP,3.000000,1.853049,0.000000,1.146951,157.604241
3.985520,STEP,3.000000,1.853049,0.000000,1.146951,157.604241
3.995801,STEP,3.000000,1.853049,0.000000,1.146951,157.604241
4.005984,STEP,3.000000,1.853049,0.000000,1.146951,157.604241
4.016321,STEP,3.000000,1.853049,0.000000,1.146951,157.604241
4.026510,STEP,3.000000,1.853049,0.000000,1.146951,157.604241
4.036821,STEP,3.000000,1.853049,0.000000,1.146951,157.604241
4.047313,STEP,3.000000,1.853049,0.000000,1.146951,157.604241
4.058146,STEP,3.000000,1.853049,0.000000,1.146951,157.604241
4.068343,STEP,3.000000,1.853049,0.000000,1.146951,157.604241
4.078793,STEP,3.000000,1.853049,0.000000,1.146951,157.604241
